Date,portval,profit
2010-11-09,10000.0,0.0
2010-11-10,9901.761892289373,-98.23810771062745
2010-11-11,9839.53044512517,-160.46955487482956
2010-11-12,9857.03908816749,-142.96091183250974
2010-11-15,9865.330101463456,-134.66989853654377
2010-11-16,9825.333131910225,-174.66686808977465
2010-11-17,9741.715888085071,-258.28411191492887
2010-11-18,9779.237425005584,-220.76257499441635
2010-11-19,9867.978898371073,-132.02110162892677
2010-11-22,9794.365553643363,-205.63444635663654
2010-11-23,9680.178682496848,-319.8213175031524
2010-11-24,9658.974090386862,-341.0259096131376
2010-11-26,9646.770220398814,-353.22977960118624
2010-11-29,9584.875993718064,-415.1240062819361
2010-11-30,9562.713740239995,-437.2862597600051
2010-12-01,9694.465570516137,-305.5344294838633
2010-12-02,9757.573775743122,-242.4262242568784
2010-12-03,9815.393722164674,-184.60627783532618
2010-12-06,9835.203607082254,-164.79639291774583
2010-12-07,9882.109212974012,-117.89078702598817
2010-12-08,9882.109212974012,-117.89078702598817
2010-12-09,10032.230972631338,32.23097263133786
2010-12-10,9965.934830687811,-34.06516931218903
2010-12-13,9998.054001318495,-1.9459986815054435
2010-12-14,10016.003405748248,16.003405748248042
2010-12-15,10027.161702051075,27.161702051074826
2010-12-16,10010.703854866326,10.703854866325855
2010-12-17,10064.163357343887,64.16335734388667
2010-12-20,10077.131777478095,77.13177747809459
2010-12-21,10093.960767992266,93.96076799226648
2010-12-22,10040.672686781292,40.672686781292214
2010-12-23,10071.638300844419,71.63830084441906
2010-12-27,10034.666548501187,34.66654850118721
2010-12-28,10098.46205666286,98.46205666286005
2010-12-29,10091.409102357868,91.4091023578676
2010-12-30,10073.237201575046,73.23720157504613
2010-12-31,10055.788274706889,55.78827470688884
2011-01-03,10142.576255723954,142.5762557239541
2011-01-04,10194.269774615635,194.26977461563547
2011-01-05,10128.286605086172,128.28660508617213
2011-01-06,10128.286605086172,128.28660508617213
2011-01-07,10130.596714005194,130.59671400519437
2011-01-10,10032.916026871972,32.91602687197155
2011-01-11,10076.341380931899,76.34138093189904
2011-01-12,10064.346523290213,64.34652329021264
2011-01-13,10161.35165173003,161.35165173003043
2011-01-14,10127.501780220568,127.50178022056753
2011-01-18,10225.517324364773,225.51732436477323
2011-01-19,10187.061881339105,187.06188133910473
2011-01-20,10130.176381696514,130.176381696514
2011-01-21,10191.664865302024,191.66486530202383
2011-01-24,10166.615309093628,166.61530909362773
2011-01-25,10208.199683584833,208.1996835848331
2011-01-26,10237.401352368546,237.4013523685462
2011-01-27,10185.803325138708,185.8033251387078
2011-01-28,10229.231970797506,229.2319707975057
2011-01-31,10091.824828828203,91.82482882820295
2011-02-01,10186.822667442286,186.82266744228582
2011-02-02,10227.950129091563,227.9501290915632
2011-02-03,10234.518824128454,234.51882412845407
2011-02-04,10234.518824128454,234.51882412845407
2011-02-07,10304.822171639797,304.8221716397966
2011-02-08,10395.534273524832,395.5342735248323
2011-02-09,10423.526023039558,423.5260230395579
2011-02-10,10404.633054815553,404.6330548155529
2011-02-11,10446.11908828205,446.11908828205014
2011-02-14,10628.415803103635,628.415803103635
2011-02-15,10588.39273843725,588.3927384372491
2011-02-16,10605.70119875079,605.7011987507904
2011-02-17,10605.844594591224,605.8445945912244
2011-02-18,10628.697669214398,628.697669214398
2011-02-22,10628.52035955239,628.5203595523908
2011-02-23,10458.790972740073,458.7909727400729
2011-02-24,10303.107580308348,303.1075803083477
2011-02-25,10397.419744357056,397.4197443570556
2011-02-28,10468.604190437078,468.6041904370777
2011-03-01,10513.690837972226,513.6908379722263
2011-03-02,10263.191263269058,263.19126326905825
2011-03-03,10371.004693178395,371.0046931783945
2011-03-04,10517.504046807044,517.5040468070438
2011-03-07,10517.504046807044,517.5040468070438
2011-03-08,10432.100076053777,432.10007605377723
2011-03-09,10504.912318773959,504.91231877395876
2011-03-10,10462.75584499306,462.75584499306024
2011-03-11,10331.530490024727,331.53049002472653
2011-03-14,10314.594587652013,314.5945876520127
2011-03-15,10095.966718153544,95.9667181535442
2011-03-16,10202.928493628278,202.92849362827837
2011-03-17,10209.018182124268,209.0181821242677
2011-03-18,10229.869325324493,229.86932532449282
2011-03-21,10211.58814806282,211.58814806281953
